Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
L6439G9J,journalArticle,,"Kunwar, Harish",Final Year Project (CS6PO5),,,,,,,,15,,,,,,,,,,,,,en,,,,,Zotero,,,,/Users/harrykd/Documents/Courseworks/FYP/Documenation/Proposal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7EGXBGR5,videoRecording,2017,,Episode 1: A basic expression evaluator,,,,,https://www.youtube.com/watch?v=wgHIkdUQbp0&list=PLRAdsfhKI4OWNOSfS7EUu5GRAVmze1t2y&index=2&t=0s,,2017-12-29,,,,,,,Episode 1,,,,,,,,,,,,YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:38:35,,,,,,,,,,,,,,,,,,,,,,,,,
LBWU2IW5,videoRecording,2017,,Making a Programming Language in Python - Part 3 - Lexer (1),,,,,https://www.youtube.com/watch?v=jUWTNlqZRSQ&list=PLP7hn9TNf1CEl8A8jQfZSRYcgUIqBhIJU&index=3,,2017-08-26,,,,,,,,,,,,,,,,,,,YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:57,,,,,,,,,,,,,,,,,,,,,,,,,
3J4JEFG6,computerProgram,2020,"Maugin, Ryan",RyanMaugin/Tachyon,,,,,https://github.com/RyanMaugin/Tachyon,Experimental Programming Language Coded in Python!,2020-07-18,,,,,,,,,,,,,,,"View license         ,                 View license",,,,GitHub,,original-date: 2017-05-26T20:44:15Z,,,,,compiler; language; programming-language; toy-language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,
TIYWVTSI,computerProgram,2020,"Yliluoma, Joel",bisqwit/compiler_series,,,,,https://github.com/bisqwit/compiler_series,Material for the Creating a Compiler video lesson series.,2020-08-07,,,,,,,,,,,,,,,"BSD-2-Clause License         ,                 BSD-2-Clause License",,,,GitHub,,original-date: 2017-12-28T15:03:57Z,,,,#fyp,compiler; cpp; educational; lessons; videos; youtube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yacc,,,,,,,,,
8UPZL8L4,webpage,2017,,"I wrote a programming language. Here’s how you can, too.",freeCodeCamp.org,,,,https://www.freecodecamp.org/news/the-programming-language-pipeline-91d3f449c919/,"by William W Wold I wrote a programming language. Here’s how you can, too. Over the past 6 months, I’ve been working on a programming language called Pinecone. I wouldn’t call it mature yet, but it already has enough features working to be usable, such as:  * variables  * functions  * user defined structures If you’re interested in it, check out Pinecone’s landing page [https://pinecone-lang.herokuapp.com/index.html]  or its GitHub repo [https://github.com/william01110111/Pinecone]. I’m not",2017-03-31,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/XYKUVR7R/the-programming-language-pipeline-91d3f449c919.html,,#fyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2HSATMT,webpage,,,Writing a Simple Programming Language from Scratch - Part 1,DEV Community,,,,https://dev.to/evantypanski/writing-a-simple-programming-language-from-scratch-part-1-54a2,Why and how to write a simple programming language,,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/PY6IN5CK/writing-a-simple-programming-language-from-scratch-part-1-54a2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUV5J5I5,journalArticle,,"Aaby, Anthony A",Compiler Construction using Flex and Bison,,,,,,,,102,,,,,,,,,,,,,en,,,,,Zotero,,,,/Users/harrykd/Zotero/storage/U5FK5DGS/Aaby - Compiler Construction using Flex and Bison.pdf,,fyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6K4ADJQ3,webpage,2018,,Compilers 101: Build your own flex + bison compiler in a few easy(?) steps,,,,,https://starbeamrainbowlabs.com/blog/article.php?article=posts%2F267-Compilers-101.html,"So you want to build your own compiler? Great! Don't know where to start? This guide should help! At University, we're building our own compiler for a.... (click to read more)",2018-02-01,,,,,,,Compilers 101,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/W7EPSCUD/article.html,,fyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7DVWSED5,computerProgram,2020,xkbeyer,xkbeyer/liquid,,,,,https://github.com/xkbeyer/liquid,"Toy programming language using LLVM, flex and bison.",2020-07-13,,,,,,,,,,,,,,,"MIT License         ,                 MIT License",,,,GitHub,,original-date: 2015-06-11T17:30:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,,,,,,,,,
UQTFM6RC,webpage,2018,"Ago, Drifter1in #utopian-Io • 2 Years",Writing a simple Compiler on my own - Combine Flex and Bison,Steemit,,,,https://steemit.com/utopian-io/@drifter1/writing-a-simple-compiler-on-my-own-combine-flex-and-bison,Image source:       Introduction   Hello it's a me Drifter Programming! Today we continue with my   Compiler Series  … by drifter1,2018-03-30,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/T6HWGXZ9/writing-a-simple-compiler-on-my-own-combine-flex-and-bison.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIEGLJD,webpage,2020,"Andrade, Marcelo",Writing your own programming language and compiler with Python,Medium,,,,https://blog.usejournal.com/writing-your-own-programming-language-and-compiler-with-python-a468970ae6df,Introduction,2020-05-27,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/9DQXLFZ4/writing-your-own-programming-language-and-compiler-with-python-a468970ae6df.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
